long,lat,yield,variety,seeding_rate,seed_spacing,speed
-91.8499910292947,40.3760971808344,88.45115613452421,DKC63-33RIB,36.747374297182276,5.691880042153852,3.667887934597815
-91.8499915292947,40.3761063988344,102.17351733805,DKC63-33RIB,36.86136863037993,5.67366090785648,3.6228336679425674
-91.84999182129471,40.3761163098344,191.420756250119,DKC63-33RIB,36.9794181939225,5.654801091656799,3.5795314993936103
-91.8499924452947,40.376126811834396,236.55621696597598,DKC63-33RIB,37.032343036242615,5.646514732667886,3.631175658922152
-91.8499930392947,40.3761388578344,224.822367119597,DKC63-33RIB,37.092702177168974,5.637064994951536,3.690433929009643
-91.84999302829469,40.376151472834394,232.429547279096,DKC63-33RIB,37.10327842620761,5.635391668481524,3.7313907753865836
-91.8499925322947,40.376164247834396,243.65369756247898,DKC63-33RIB,37.085822657575186,5.638098283287172,3.7617748139688123
-91.84999148629471,40.376177434834396,247.520759261253,DKC63-33RIB,37.06890550456897,5.640723429145925,3.794326936567426
-91.8499911382947,40.3761906698344,263.673767814023,DKC63-33RIB,37.05047904668611,5.643579919149405,3.825435992285584
-91.84999098229471,40.3762037548344,265.223575851637,DKC63-33RIB,37.03187349437346,5.6464634652783126,3.8557740373972322
-91.84999030529471,40.3762172928344,254.457054229449,DKC63-33RIB,37.01368742868655,5.649283896844776,3.8883096125257484
-91.84998983729471,40.3762309118344,241.09190206834302,DKC63-33RIB,36.99495306023195,5.652188532841466,3.920565805384374
-91.8499905392947,40.3762445618344,227.14394997993801,DKC63-33RIB,36.97376030941403,5.655469866485049,3.9502897446430865
-91.84999125429471,40.3762581588344,215.518433672002,DKC63-33RIB,36.95261740551139,5.658743429151625,3.979863281744495
-91.84999057529471,40.3762715688344,218.58540212701698,DKC63-33RIB,36.93462061659987,5.661534539002242,4.012109929793912
-91.8499900292947,40.376285083834404,219.559456563988,DKC63-33RIB,36.916197586154766,5.664391214683034,4.044301307488801
-91.8499899592947,40.3762985958344,237.30068418964,DKC63-33RIB,36.89679697588026,5.667397645902021,4.075426686352953
-91.8499897692947,40.3763119188344,254.52624225752004,DKC63-33RIB,36.87791729542543,5.670323792020527,4.106385881296819
-91.84998941729471,40.376325255834395,254.327096045751,DKC63-33RIB,36.85935154666441,5.6732018800079915,4.1377376220315965
-91.84998896329469,40.3763388138344,256.903005943636,DKC63-33RIB,36.84067653432221,5.676097267931627,4.169822851730034
-91.8499886532947,40.3763522838344,262.546313502732,DKC63-33RIB,36.82183176208249,5.679018439331297,4.201385977678479
-91.8499882162947,40.376365646834394,239.893837218605,DKC63-33RIB,36.803403747260724,5.681875492770366,4.232986439738872
-91.8499880642947,40.3763791148344,232.016630521113,DKC63-33RIB,36.78423593681698,5.684846147859949,4.2641934241506565
-91.8499879612947,40.3763926418344,220.531570355046,DKC63-33RIB,36.76488170339434,5.687845512319828,4.2954266097522
-91.84998842229471,40.3764058248344,233.748945164105,DKC63-33RIB,36.74486161284345,5.690946011466005,4.32461641725795
-91.84998846029471,40.3764192038344,243.768016351522,DKC63-33RIB,36.72543059769434,5.693956763039305,4.355196653790328
-91.84998747629471,40.3764324878344,233.757908147317,DKC63-33RIB,36.70824523784648,5.696623243841825,4.387833148295952
